timestamp,P1
2021-01-31 10:59:06,360
2021-01-31 10:59:07,360
2021-01-31 10:59:08,45
2021-01-31 10:59:09,45
2021-01-31 10:59:10,45
2021-01-31 10:59:11,45
2021-01-31 10:59:12,45
2021-01-31 10:59:13,45
2021-01-31 10:59:14,45
2021-01-31 10:59:15,45
2021-01-31 10:59:16,45
2021-01-31 10:59:17,45
2021-01-31 10:59:18,45
2021-01-31 10:59:19,315
2021-01-31 10:59:20,315
2021-01-31 10:59:21,315
2021-01-31 10:59:22,315
2021-01-31 10:59:23,315
2021-01-31 10:59:24,315
2021-01-31 10:59:25,315
2021-01-31 10:59:26,315
2021-01-31 10:59:27,315
2021-01-31 10:59:28,315
2021-01-31 10:59:29,315
2021-01-31 10:59:30,315
2021-01-31 10:59:31,315
2021-01-31 10:59:32,315
2021-01-31 10:59:33,315
2021-01-31 10:59:34,315
2021-01-31 10:59:35,315
2021-01-31 10:59:36,315
2021-01-31 10:59:37,315
2021-01-31 10:59:38,315
2021-01-31 10:59:39,315
2021-01-31 10:59:40,315
2021-01-31 10:59:41,315
2021-01-31 10:59:42,315
2021-01-31 10:59:43,315
2021-01-31 10:59:44,315
2021-01-31 10:59:45,315
2021-01-31 10:59:46,315
2021-01-31 10:59:47,315
2021-01-31 10:59:48,315
2021-01-31 10:59:49,292
2021-01-31 10:59:50,292
2021-01-31 10:59:51,292
2021-01-31 10:59:52,292
2021-01-31 10:59:53,292
2021-01-31 10:59:54,292
2021-01-31 10:59:55,292
2021-01-31 10:59:56,292
2021-01-31 10:59:57,292
2021-01-31 10:59:58,292
2021-01-31 10:59:59,292
2021-01-31 11:00:00,292
2021-01-31 11:00:01,292
2021-01-31 11:00:02,292
2021-01-31 11:00:03,292
2021-01-31 11:00:04,292
2021-01-31 11:00:05,292
2021-01-31 11:00:06,292
2021-01-31 11:00:07,292
2021-01-31 11:00:08,292
2021-01-31 11:00:09,292
2021-01-31 11:00:10,292
2021-01-31 11:00:11,292
2021-01-31 11:00:12,292
2021-01-31 11:00:13,292
2021-01-31 11:00:14,292
2021-01-31 11:00:15,292
2021-01-31 11:00:16,292
2021-01-31 11:00:17,292
2021-01-31 11:00:18,292
2021-01-31 11:00:19,315
2021-01-31 11:00:20,315
2021-01-31 11:00:21,315
2021-01-31 11:00:22,315
2021-01-31 11:00:23,315
2021-01-31 11:00:24,315
2021-01-31 11:00:25,315
2021-01-31 11:00:26,315
2021-01-31 11:00:27,315
2021-01-31 11:00:28,315
2021-01-31 11:00:29,315
2021-01-31 11:00:30,315
2021-01-31 11:00:31,315
2021-01-31 11:00:32,315
2021-01-31 11:00:33,315
2021-01-31 11:00:34,315
2021-01-31 11:00:35,315
2021-01-31 11:00:36,315
2021-01-31 11:00:37,315
2021-01-31 11:00:38,315
2021-01-31 11:00:39,315
2021-01-31 11:00:40,315
2021-01-31 11:00:41,315
2021-01-31 11:00:42,315
2021-01-31 11:00:43,315
2021-01-31 11:00:44,315
2021-01-31 11:00:45,315
2021-01-31 11:00:46,315
2021-01-31 11:00:47,315
2021-01-31 11:00:48,315
2021-01-31 11:00:49,135
2021-01-31 11:00:50,135
2021-01-31 11:00:51,135
2021-01-31 11:00:52,135
2021-01-31 11:00:53,135
2021-01-31 11:00:54,135
2021-01-31 11:00:55,135
2021-01-31 11:00:56,135
