# file...... wh1.csv
# date...... Sat Feb 13 14:03:12 2021
# user...... semae
# host...... (null)
# target.... waterheater 26
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,load_state,heatgain,height,waterheater_model,water_demand,temperature,is_waterheater_on
2021-02-07 11:01:28 PST,DEPLETING,+156.266,+3.78239,ONEZNODE,+0,+119.994,+0
2021-02-07 11:01:29 PST,DEPLETING,+156.265,+3.78239,ONEZNODE,+0,+119.994,+0
2021-02-07 11:01:30 PST,DEPLETING,+156.264,+3.78239,ONEZNODE,+0,+119.994,+0
2021-02-07 11:01:31 PST,DEPLETING,+156.263,+3.78239,ONEZNODE,+0,+119.994,+0
2021-02-07 11:01:32 PST,DEPLETING,+156.262,+3.78239,ONEZNODE,+0,+119.994,+0
2021-02-07 11:01:33 PST,DEPLETING,+156.261,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:34 PST,DEPLETING,+156.26,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:35 PST,DEPLETING,+156.259,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:36 PST,DEPLETING,+156.258,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:37 PST,DEPLETING,+156.257,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:38 PST,DEPLETING,+156.256,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:39 PST,DEPLETING,+156.255,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:40 PST,DEPLETING,+156.254,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:41 PST,DEPLETING,+156.253,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:42 PST,DEPLETING,+156.252,+3.78239,ONEZNODE,+0,+119.993,+0
2021-02-07 11:01:43 PST,DEPLETING,+156.251,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:44 PST,DEPLETING,+156.25,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:45 PST,DEPLETING,+156.249,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:46 PST,DEPLETING,+156.248,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:47 PST,DEPLETING,+156.247,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:48 PST,DEPLETING,+156.246,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:49 PST,DEPLETING,+156.245,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:50 PST,DEPLETING,+156.245,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:51 PST,DEPLETING,+156.244,+3.78239,ONEZNODE,+0,+119.992,+0
2021-02-07 11:01:52 PST,DEPLETING,+156.243,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:01:53 PST,DEPLETING,+156.242,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:01:54 PST,DEPLETING,+156.241,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:01:55 PST,DEPLETING,+156.24,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:01:56 PST,DEPLETING,+156.239,+3.78239,ONEZNODE,+0,+119.991,+0
2021-02-07 11:01:57 PST,DEPLETING,+156.238,+3.78239,ONEZNODE,+0,+119.991,+0
